Category: All categories

Week,euro: (Türkiye)
2020-03-29,8
2020-04-05,7
2020-04-12,8
2020-04-19,7
2020-04-26,7
2020-05-03,9
2020-05-10,8
2020-05-17,7
2020-05-24,7
2020-05-31,7
2020-06-07,8
2020-06-14,7
2020-06-21,7
2020-06-28,7
2020-07-05,8
2020-07-12,8
2020-07-19,11
2020-07-26,19
2020-08-02,25
2020-08-09,18
2020-08-16,17
2020-08-23,13
2020-08-30,12
2020-09-06,11
2020-09-13,14
2020-09-20,15
2020-09-27,18
2020-10-04,15
2020-10-11,13
2020-10-18,12
2020-10-25,20
2020-11-01,30
2020-11-08,40
2020-11-15,19
2020-11-22,15
2020-11-29,11
2020-12-06,10
2020-12-13,9
2020-12-20,9
2020-12-27,11
2021-01-03,12
2021-01-10,10
2021-01-17,8
2021-01-24,9
2021-01-31,12
2021-02-07,10
2021-02-14,9
2021-02-21,12
2021-02-28,12
2021-03-07,11
2021-03-14,11
2021-03-21,27
2021-03-28,17
2021-04-04,11
2021-04-11,9
2021-04-18,14
2021-04-25,13
2021-05-02,9
2021-05-09,10
2021-05-16,11
2021-05-23,12
2021-05-30,15
2021-06-06,27
2021-06-13,31
2021-06-20,28
2021-06-27,30
2021-07-04,21
2021-07-11,16
2021-07-18,13
2021-07-25,13
2021-08-01,14
2021-08-08,13
2021-08-15,14
2021-08-22,13
2021-08-29,13
2021-09-05,12
2021-09-12,11
2021-09-19,14
2021-09-26,13
2021-10-03,11
2021-10-10,19
2021-10-17,25
2021-10-24,21
2021-10-31,15
2021-11-07,17
2021-11-14,38
2021-11-21,65
2021-11-28,47
2021-12-05,32
2021-12-12,62
2021-12-19,100
2021-12-26,49
2022-01-02,36
2022-01-09,25
2022-01-16,18
2022-01-23,16
2022-01-30,19
2022-02-06,17
2022-02-13,16
2022-02-20,23
2022-02-27,19
2022-03-06,22
2022-03-13,20
2022-03-20,17
2022-03-27,16
2022-04-03,15
2022-04-10,16
2022-04-17,16
2022-04-24,17
2022-05-01,17
2022-05-08,23
2022-05-15,25
2022-05-22,30
2022-05-29,26
2022-06-05,35
2022-06-12,28
2022-06-19,28
2022-06-26,29
2022-07-03,30
2022-07-10,35
2022-07-17,32
2022-07-24,32
2022-07-31,27
2022-08-07,26
2022-08-14,25
2022-08-21,29
2022-08-28,26
2022-09-04,24
2022-09-11,23
2022-09-18,23
2022-09-25,26
2022-10-02,23
2022-10-09,21
2022-10-16,18
2022-10-23,20
2022-10-30,18
2022-11-06,22
2022-11-13,24
2022-11-20,19
2022-11-27,18
2022-12-04,18
2022-12-11,18
2022-12-18,17
2022-12-25,17
2023-01-01,19
2023-01-08,18
2023-01-15,18
2023-01-22,16
2023-01-29,16
2023-02-05,12
2023-02-12,18
2023-02-19,14
2023-02-26,14
2023-03-05,13
2023-03-12,14
2023-03-19,16
2023-03-26,17
2023-04-02,17
2023-04-09,17
2023-04-16,18
2023-04-23,19
2023-04-30,17
2023-05-07,19
2023-05-14,18
2023-05-21,17
2023-05-28,29
2023-06-04,51
2023-06-11,35
2023-06-18,46
2023-06-25,48
2023-07-02,41
2023-07-09,39
2023-07-16,47
2023-07-23,34
2023-07-30,32
2023-08-06,28
2023-08-13,26
2023-08-20,34
2023-08-27,29
2023-09-03,27
2023-09-10,25
2023-09-17,24
2023-09-24,21
2023-10-01,20
2023-10-08,24
2023-10-15,24
2023-10-22,20
2023-10-29,25
2023-11-05,22
2023-11-12,22
2023-11-19,24
2023-11-26,22
2023-12-03,19
2023-12-10,18
2023-12-17,18
2023-12-24,19
2023-12-31,18
2024-01-07,17
2024-01-14,17
2024-01-21,16
2024-01-28,14
2024-02-04,15
2024-02-11,14
2024-02-18,16
2024-02-25,16
2024-03-03,19
2024-03-10,18
2024-03-17,18
2024-03-24,18
2024-03-31,17
2024-04-07,17
2024-04-14,18
2024-04-21,16
2024-04-28,17
2024-05-05,16
2024-05-12,16
2024-05-19,15
2024-05-26,16
2024-06-02,19
2024-06-09,27
2024-06-16,62
2024-06-23,55
2024-06-30,62
2024-07-07,34
2024-07-14,26
2024-07-21,20
2024-07-28,20
2024-08-04,22
2024-08-11,22
2024-08-18,24
2024-08-25,21
2024-09-01,20
2024-09-08,19
2024-09-15,19
2024-09-22,18
2024-09-29,17
2024-10-06,17
2024-10-13,17
2024-10-20,16
2024-10-27,16
2024-11-03,16
2024-11-10,17
2024-11-17,17
2024-11-24,16
2024-12-01,15
2024-12-08,13
2024-12-15,14
2024-12-22,14
2024-12-29,13
2025-01-05,13
2025-01-12,14
2025-01-19,15
2025-01-26,16
2025-02-02,15
2025-02-09,14
2025-02-16,14
2025-02-23,14
2025-03-02,17
2025-03-09,17
2025-03-16,28
2025-03-23,18
2025-03-30,17
