Category: All categories

Week,faiz: (Türkiye)
2020-03-29,18
2020-04-05,14
2020-04-12,17
2020-04-19,20
2020-04-26,21
2020-05-03,20
2020-05-10,20
2020-05-17,19
2020-05-24,20
2020-05-31,52
2020-06-07,34
2020-06-14,25
2020-06-21,24
2020-06-28,23
2020-07-05,20
2020-07-12,19
2020-07-19,22
2020-07-26,18
2020-08-02,27
2020-08-09,33
2020-08-16,29
2020-08-23,20
2020-08-30,18
2020-09-06,18
2020-09-13,18
2020-09-20,27
2020-09-27,21
2020-10-04,20
2020-10-11,20
2020-10-18,27
2020-10-25,20
2020-11-01,22
2020-11-08,27
2020-11-15,58
2020-11-22,26
2020-11-29,21
2020-12-06,21
2020-12-13,25
2020-12-20,35
2020-12-27,25
2021-01-03,24
2021-01-10,23
2021-01-17,28
2021-01-24,25
2021-01-31,24
2021-02-07,23
2021-02-14,28
2021-02-21,22
2021-02-28,22
2021-03-07,21
2021-03-14,48
2021-03-21,33
2021-03-28,29
2021-04-04,24
2021-04-11,28
2021-04-18,21
2021-04-25,21
2021-05-02,23
2021-05-09,19
2021-05-16,22
2021-05-23,27
2021-05-30,27
2021-06-06,25
2021-06-13,33
2021-06-20,22
2021-06-27,23
2021-07-04,25
2021-07-11,26
2021-07-18,17
2021-07-25,25
2021-08-01,24
2021-08-08,31
2021-08-15,24
2021-08-22,24
2021-08-29,22
2021-09-05,24
2021-09-12,25
2021-09-19,45
2021-09-26,25
2021-10-03,24
2021-10-10,26
2021-10-17,52
2021-10-24,35
2021-10-31,28
2021-11-07,27
2021-11-14,77
2021-11-21,33
2021-11-28,32
2021-12-05,30
2021-12-12,77
2021-12-19,47
2021-12-26,30
2022-01-02,31
2022-01-09,30
2022-01-16,37
2022-01-23,39
2022-01-30,25
2022-02-06,25
2022-02-13,33
2022-02-20,24
2022-02-27,24
2022-03-06,27
2022-03-13,50
2022-03-20,25
2022-03-27,24
2022-04-03,25
2022-04-10,32
2022-04-17,26
2022-04-24,23
2022-05-01,42
2022-05-08,46
2022-05-15,29
2022-05-22,43
2022-05-29,26
2022-06-05,29
2022-06-12,45
2022-06-19,34
2022-06-26,23
2022-07-03,25
2022-07-10,27
2022-07-17,40
2022-07-24,38
2022-07-31,25
2022-08-07,25
2022-08-14,36
2022-08-21,26
2022-08-28,23
2022-09-04,26
2022-09-11,27
2022-09-18,50
2022-09-25,26
2022-10-02,24
2022-10-09,27
2022-10-16,36
2022-10-23,28
2022-10-30,39
2022-11-06,24
2022-11-13,25
2022-11-20,35
2022-11-27,28
2022-12-04,25
2022-12-11,37
2022-12-18,30
2022-12-25,25
2023-01-01,40
2023-01-08,32
2023-01-15,35
2023-01-22,30
2023-01-29,41
2023-02-05,15
2023-02-12,20
2023-02-19,30
2023-02-26,28
2023-03-05,29
2023-03-12,31
2023-03-19,36
2023-03-26,29
2023-04-02,34
2023-04-09,30
2023-04-16,25
2023-04-23,32
2023-04-30,33
2023-05-07,25
2023-05-14,30
2023-05-21,35
2023-05-28,33
2023-06-04,40
2023-06-11,54
2023-06-18,100
2023-06-25,34
2023-07-02,44
2023-07-09,40
2023-07-16,68
2023-07-23,48
2023-07-30,32
2023-08-06,31
2023-08-13,29
2023-08-20,74
2023-08-27,41
2023-09-03,37
2023-09-10,47
2023-09-17,92
2023-09-24,47
2023-10-01,40
2023-10-08,41
2023-10-15,45
2023-10-22,65
2023-10-29,46
2023-11-05,36
2023-11-12,39
2023-11-19,68
2023-11-26,46
2023-12-03,44
2023-12-10,56
2023-12-17,63
2023-12-24,43
2023-12-31,40
2024-01-07,37
2024-01-14,37
2024-01-21,50
2024-01-28,41
2024-02-04,34
2024-02-11,33
2024-02-18,41
2024-02-25,32
2024-03-03,32
2024-03-10,37
2024-03-17,63
2024-03-24,42
2024-03-31,32
2024-04-07,30
2024-04-14,39
2024-04-21,56
2024-04-28,45
2024-05-05,37
2024-05-12,41
2024-05-19,49
2024-05-26,35
2024-06-02,36
2024-06-09,36
2024-06-16,29
2024-06-23,41
2024-06-30,34
2024-07-07,38
2024-07-14,35
2024-07-21,43
2024-07-28,42
2024-08-04,37
2024-08-11,36
2024-08-18,46
2024-08-25,32
2024-09-01,38
2024-09-08,34
2024-09-15,57
2024-09-22,34
2024-09-29,34
2024-10-06,35
2024-10-13,40
2024-10-20,30
2024-10-27,30
2024-11-03,43
2024-11-10,34
2024-11-17,39
2024-11-24,31
2024-12-01,32
2024-12-08,33
2024-12-15,46
2024-12-22,51
2024-12-29,30
2025-01-05,33
2025-01-12,33
2025-01-19,46
2025-01-26,36
2025-02-02,32
2025-02-09,30
2025-02-16,31
2025-02-23,29
2025-03-02,45
2025-03-09,31
2025-03-16,34
2025-03-23,31
2025-03-30,25
