Finansal yatırım araçlarının yıllara göre dönemsel reel getiri oranları;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The rates of profits created by means of financial invesment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(%)
;;"Mevduat faizi (Brüt) (1)
Deposit interest(1)";;;;;;;;;;;;;;;;"BIST 100 Endeksi(2)
Stock exchange(2)";;;;;;;;;;;;;;;;"Amerikan Doları
US Dollar";;;;;;;;;;;;;;;;"Euro(3)
Euro(3)";;;;;;;;;;;;;;;;"Altın (Külçe)
Gold (ingot)";;;;;;;;;;;;;;;;"Devlet İç Borçlanma Senetleri
Government Domestic Debt Instruments";;;;;;;;;;;;;;
;;"Aylık
Monthly";;;;"3 Aylık
Quarterly";;;;"6 Aylık
Semi-annual";;;;"Yıllık
Yearly";;;;"Aylık
Monthly";;;;"3 Aylık
Quarterly";;;;"6 Aylık
Semi-annual";;;;"Yıllık
Yearly";;;;"Aylık
Monthly";;;;"3 Aylık
Quarterly";;;;"6 Aylık
Semi-annual";;;;"Yıllık
Yearly";;;;"Aylık
Monthly";;;;"3 Aylık
Quarterly";;;;"6 Aylık
Semi-annual";;;;"Yıllık
Yearly";;;;"Aylık
Monthly";;;;"3 Aylık
Quarterly";;;;"6 Aylık
Semi-annual";;;;"Yıllık
Yearly";;;;"Aylık
Monthly";;;;"3 Aylık
Quarterly";;;;"6 Aylık
Semi-annual";;;;"Yıllık
Yearly";;
;;"Nominal getiri
Nominal profit";"Reel getiri
Real profit";;;"Nominal getiri
Nominal profit";"Reel getiri
Real profit";;;"Nominal getiri
Nominal profit";"Reel getiri
Real profit";;;"Nominal getiri
Nominal profit";"Reel getiri
Real profit";;;"Nominal getiri
Nominal profit";"Reel getiri
Real profit";;;"Nominal getiri
Nominal profit";"Reel getiri
Real profit";;;"Nominal getiri
Nominal profit";"Reel getiri
Real profit";;;"Nominal getiri
Nominal profit";"Reel getiri
Real profit";;;"Nominal getiri
Nominal profit";"Reel getiri
Real profit";;;"Nominal getiri
Nominal profit";"Reel getiri
Real profit";;;"Nominal getiri
Nominal profit";"Reel getiri
Real profit";;;"Nominal getiri
Nominal profit";"Reel getiri
Real profit";;;"Nominal getiri
Nominal profit";"Reel getiri
Real profit";;;"Nominal getiri
Nominal profit";"Reel getiri
Real profit";;;"Nominal getiri
Nominal profit";"Reel getiri
Real profit";;;"Nominal getiri
Nominal profit";"Reel getiri
Real profit";;;"Nominal getiri
Nominal profit";"Reel getiri
Real profit";;;"Nominal getiri
Nominal profit";"Reel getiri
Real profit";;;"Nominal getiri
Nominal profit";"Reel getiri
Real profit";;;"Nominal getiri
Nominal profit";"Reel getiri
Real profit";;;"Nominal getiri
Nominal profit";"Reel getiri
Real profit";;;"Nominal getiri
Nominal profit";"Reel getiri
Real profit";;;"Nominal getiri
Nominal profit";"Reel getiri
Real profit";;;"Nominal getiri
Nominal profit";"Reel getiri
Real profit";
"Yıl
Year";"Ay
Months";;"Yİ-ÜFE(4)
D-PPI(4)";"TÜFE
CPI";;;"Yİ-ÜFE(4)
D-PPI(4)";"TÜFE
CPI";;;"Yİ-ÜFE(4)
D-PPI(4)";"TÜFE
CPI";;;"Yİ-ÜFE(4)
D-PPI(4)";"TÜFE
CPI";;;"Yİ-ÜFE(4)
D-PPI(4)";"TÜFE
CPI";;;"Yİ-ÜFE(4)
D-PPI(4)";"TÜFE
CPI";;;"Yİ-ÜFE(4)
D-PPI(4)";"TÜFE
CPI";;;"Yİ-ÜFE(4)
D-PPI(4)";"TÜFE
CPI";;;"Yİ-ÜFE(4)
D-PPI(4)";"TÜFE
CPI";;;"Yİ-ÜFE(4)
D-PPI(4)";"TÜFE
CPI";;;"Yİ-ÜFE(4)
D-PPI(4)";"TÜFE
CPI";;;"Yİ-ÜFE(4)
D-PPI(4)";"TÜFE
CPI";;;"Yİ-ÜFE(4)
D-PPI(4)";"TÜFE
CPI";;;"Yİ-ÜFE(4)
D-PPI(4)";"TÜFE
CPI";;;"Yİ-ÜFE(4)
D-PPI(4)";"TÜFE
CPI";;;"Yİ-ÜFE(4)
D-PPI(4)";"TÜFE
CPI";;;"Yİ-ÜFE(4)
D-PPI(4)";"TÜFE
CPI";;;"Yİ-ÜFE(4)
D-PPI(4)";"TÜFE
CPI";;;"Yİ-ÜFE(4)
D-PPI(4)";"TÜFE
CPI";;;"Yİ-ÜFE(4)
D-PPI(4)";"TÜFE
CPI";;;"Yİ-ÜFE(4)
D-PPI(4)";"TÜFE
CPI";;;"Yİ-ÜFE(4)
D-PPI(4)";"TÜFE
CPI";;;"Yİ-ÜFE(4)
D-PPI(4)";"TÜFE
CPI";;;"Yİ-ÜFE(4)
D-PPI(4)";"TÜFE
CPI"
1997;"Ocak
January";6,1;0,5;0,2;;19,9;3,9;4,1;;42,3;7,2;4,4;;93,2;8,5;10,0;;36,5;29,3;28,9;;60,6;39,2;39,4;;85,9;40,0;36,4;;183,4;59,2;61,3;;7,2;1,5;1,2;;19,7;3,7;3,9;;35,5;2,0;-0,6;;85,5;4,2;5,6;;3,9;-1,6;-1,9;;14,4;-0,9;-0,7;;27,6;-3,9;-6,4;;69,0;-5,1;-3,8;;3,1;-2,4;-2,6;;11,8;-3,1;-3,0;;25,8;-5,3;-7,7;;65,4;-7,1;-5,9;;;;;;;;;;;;;;;;
1997;"Şubat
February";5,9;-0,3;0,2;;19,9;2,8;3,6;;42,3;4,7;3,5;;93,7;8,5;9,0;;24,7;17,4;18,0;;87,2;60,5;61,8;;146,3;81,2;79,1;;193,6;64,4;65,2;;6,3;0,1;0,6;;21,0;3,8;4,6;;40,4;3,3;2,1;;86,1;4,2;4,7;;1,7;-4,2;-3,8;;9,3;-6,3;-5,5;;24,4;-8,5;-9,5;;63,4;-8,5;-8,0;;4,4;-1,7;-1,2;;11,9;-4,0;-3,3;;27,2;-6,4;-7,5;;60,7;-10,0;-9,6;;;;;;;;;;;;;;;;
1997;"Mart
March";5,9;-0,1;0,5;;19,9;0,8;1,7;;42,3;3,8;4,2;;92,7;8,9;8,7;;-3,0;-8,5;-8,0;;65,1;38,7;40,0;;126,3;65,1;65,8;;133,3;31,8;31,6;;4,8;-1,1;-0,6;;19,4;0,3;1,3;;40,5;2,5;2,9;;82,9;3,3;3,2;;3,4;-2,5;-1,9;;9,3;-8,2;-7,3;;24,7;-9,0;-8,6;;59,4;-9,9;-10,1;;5,7;-0,3;0,3;;13,8;-4,4;-3,5;;30,7;-4,7;-4,2;;56,3;-11,7;-11,8;;;;;;;;;;;;;;;;
1997;"Nisan
April";5,9;0,4;-0,7;;19,3;0,4;0,5;;42,2;3,6;4,0;;91,8;11,0;8,2;;-1,5;-6,6;-7,6;;19,2;0,3;0,4;;91,5;39,6;40,1;;122,7;28,9;25,7;;4,8;-0,7;-1,7;;16,8;-1,7;-1,6;;39,8;1,9;2,3;;80,5;4,5;1,9;;4,0;-1,4;-2,4;;9,4;-7,9;-7,8;;25,2;-8,7;-8,4;;58,1;-8,5;-10,8;;3,0;-2,4;-3,4;;13,6;-4,4;-4,3;;27,1;-7,4;-7,0;;58,6;-8,2;-10,5;;;;;;;;;;;;;;;;
1997;"Mayıs
May";5,9;0,7;1,1;;19,2;1,3;1,4;;42,4;3,7;4,6;;91,6;9,7;7,9;;-2,9;-7,7;-7,3;;-7,2;-21,2;-21,1;;73,8;26,6;27,7;;129,3;31,3;29,2;;4,7;-0,5;0,0;;15,0;-2,3;-2,2;;39,2;1,4;2,3;;78,7;2,3;0,7;;4,9;-0,3;0,2;;12,8;-4,2;-4,1;;23,3;-10,2;-9,4;;60,7;-8,0;-9,5;;4,2;-1,0;-0,5;;13,5;-3,6;-3,5;;26,9;-7,6;-6,8;;57,5;-9,8;-11,3;;;;;;;;;;;;;;;;
