,Year,Month,Interest,Date
285,2020,March,0.72,2020-03-01
286,2020,April,0.69,2020-04-01
287,2020,May,0.59,2020-05-01
288,2020,June,0.59,2020-06-01
289,2020,July,0.57,2020-07-01
290,2020,August,0.71,2020-08-01
291,2020,September,0.78,2020-09-01
292,2020,October,0.83,2020-10-01
293,2020,November,1.02,2020-11-01
294,2020,December,1.13,2020-12-01
295,2021,January,1.14,2021-01-01
296,2021,February,1.16,2021-02-01
297,2021,March,1.24,2021-03-01
298,2021,April,1.25,2021-04-01
299,2021,May,1.26,2021-05-01
300,2021,June,1.3,2021-06-01
301,2021,July,1.27,2021-07-01
302,2021,August,1.36,2021-08-01
303,2021,September,1.24,2021-09-01
304,2021,October,1.18,2021-10-01
305,2021,November,1.11,2021-11-01
306,2021,December,1.25,2021-12-01
307,2022,January,1.25,2022-01-01
308,2022,February,1.27,2022-02-01
309,2022,March,1.18,2022-03-01
310,2022,April,1.17,2022-04-01
311,2022,May,1.13,2022-05-01
312,2022,June,1.13,2022-06-01
313,2022,July,1.22,2022-07-01
314,2022,August,1.21,2022-08-01
315,2022,September,1.21,2022-09-01
316,2022,October,1.16,2022-10-01
317,2022,November,1.2,2022-11-01
318,2022,December,1.33,2022-12-01
319,2023,January,1.27,2023-01-01
320,2023,February,1.35,2023-02-01
321,2023,March,1.48,2023-03-01
322,2023,April,1.47,2023-04-01
323,2023,May,1.62,2023-05-01
324,2023,June,1.67,2023-06-01
325,2023,July,1.9,2023-07-01
326,2023,August,1.69,2023-08-01
327,2023,September,1.65,2023-09-01
328,2023,October,2.0,2023-10-01
329,2023,November,2.25,2023-11-01
330,2023,December,2.31,2023-12-01
331,2024,January,2.57,2024-01-01
332,2024,February,2.69,2024-02-01
333,2024,March,2.79,2024-03-01
334,2024,April,3.02,2024-04-01
335,2024,May,3.17,2024-05-01
336,2024,June,3.29,2024-06-01
337,2024,July,3.34,2024-07-01
338,2024,August,3.35,2024-08-01
339,2024,September,3.3,2024-09-01
340,2024,October,3.35,2024-10-01
341,2024,November,3.36,2024-11-01
342,2024,December,3.49,2024-12-01
343,2025,January,3.42,2025-01-01
344,2025,February,3.3,2025-02-01
